ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
23.6077,0,14.1991,20.3359,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,90.58053
34.1416,1,24.3762,30.8706,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,91.36494
45.0491,2,34.6382,41.7772,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,90.03069
57.1352,3,45.4923,53.8639,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,90.05533
69.3758,4,57.6964,66.1095,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.98342
91.5651,5,69.9675,88.2983,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.87871
101.3231,6,92.4919,98.0502,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.4411
112.7261,7,101.6271,109.4553,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.53784
135.3136,8,113.22,132.0562,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.49423
145.7909,9,136.132,142.519,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.97627
157.7732,10,146.3159,154.5028,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,89.02234
179.4373,11,158.2517,176.167,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.98205
190.4916,12,180.174,187.2192,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.56342
201.1728,13,190.917,197.9001,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.40388
212.5817,14,201.6148,209.3116,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.41782
234.7454,15,213.0982,231.474,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,88.38104
245.7118,16,235.3731,242.4389,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.87291
256.9016,17,246.095,253.633,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.85823
279.2953,18,257.3838,276.0263,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.86893
290.4642,19,279.789,287.193,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.29793
301.2128,20,291.2927,297.9414,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.27057
324.2954,21,301.9742,321.0247,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,87.32747
334.6461,22,325.0103,331.3742,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.72953
345.6856,23,335.1297,342.4124,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.80661
357.0384,24,346.0682,353.7673,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.80531
379.2069,25,357.7817,375.9355,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.79196
390.668,26,379.8131,387.4014,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.21213
401.2834,27,391.39,398.0103,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.14047
412.2387,28,401.7638,408.9673,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.2399
434.9392,29,412.6415,431.6707,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,86.24339
445.601,30,435.5374,442.329,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.6311
456.9046,31,445.9796,453.6373,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.67538
479.8281,32,457.4132,476.5664,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.65458
490.7436,33,480.4575,487.4715,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.0149
501.4912,34,491.2015,498.2208,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.04632
524.458,35,502.0578,521.195,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,85.09803
534.575,36,525.0145,531.3043,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,84.44425
545.5794,37,535.1014,542.3069,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,84.55877
557.0359,38,545.9499,553.7674,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,84.56804
579.8303,39,557.522,576.5606,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,84.55593
590.4948,40,580.3575,587.2247,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.87266
601.0833,41,590.98,597.8102,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.92181
624.4278,42,601.775,621.1573,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.95303
634.7238,43,625.1095,631.4526,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.29087
645.5241,44,635.3609,642.2512,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.35191
656.9775,45,646.0165,653.7111,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.40564
679.3534,46,657.6096,676.0823,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,83.36871
690.566,47,680.0379,687.2961,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.68265
701.3049,48,691.3259,698.0342,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.66694
712.378,49,701.9199,709.1059,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.7241
734.9779,50,712.9036,731.7133,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.71355
745.7299,51,735.9956,742.4574,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.03391
757.0917,52,746.3662,753.8237,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.08497
779.707,53,757.7366,776.4355,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.0619
790.46,54,780.3679,787.1916,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.34398
801.4027,55,791.143,798.16,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.37816
812.4556,56,801.9805,809.1837,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.41049
834.7211,57,813.0085,831.4538,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.4033
845.6997,58,835.6476,842.4276,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.69124
857.0115,59,846.0887,853.7409,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.75288
868.0991,60,857.4902,864.8293,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.70145
890.4985,61,868.504,887.2281,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.71809
901.4965,62,891.7599,898.2241,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.96175
912.4542,63,902.0526,909.1844,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.03703
935.4221,64,913.0335,932.1514,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.02162
945.6709,65,936.2531,942.3981,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.23309
957.0561,66,946.2841,953.7856,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.33131
968.154,67,957.631,964.8818,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.32513
990.505,68,968.8237,987.2372,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.31302
1001.699,69,991.328,998.4284,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.52539
1012.431,70,1002.124,1009.158,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.56473
1023.497,71,1012.851,1020.228,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.7689
1045.926,72,1024.201,1042.656,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.02535
1056.856,73,1046.677,1053.586,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.80741
1068.018,74,1058.211,1064.752,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.93781
1090.499,75,1068.614,1087.231,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.11423
1101.391,76,1092.293,1098.121,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.56532
1112.479,77,1101.903,1109.206,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.00323
