ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,eyes_camera_pos,eyes_camera_rot,framerate
24.0293,0,14.8848,19.9516,Lab_Idle,0,default,-0.001809733 1.693556 0.3858351,4.398585 0.009628008 0.4554524,86.87702
34.8924,1,24.6796,30.8219,Lab_Idle,0,default,-0.001970989 1.693579 0.385845,4.396563 0.00953462 0.4544138,87.01096
56.9191,2,36.4034,52.8414,Lab_Idle,0,default,-0.001983652 1.693581 0.3858547,4.395084 0.01170882 0.4518075,87.01923
80.6459,3,57.8855,76.568,Lab_Idle,0,default,-0.002018843 1.693542 0.3858802,4.394638 0.01145317 0.4541318,86.4356
90.9835,4,81.2096,86.9032,Lab_Idle,0,default,-0.002033007 1.693537 0.3858776,4.391434 0.007968749 0.4531332,85.81788
102.5402,5,91.484,98.4695,Lab_Idle,0,default,-0.002102557 1.693513 0.3858355,4.391917 0.01087238 0.4532244,85.98661
123.8318,6,103.2911,119.7514,Lab_Idle,0,default,-0.002117913 1.693508 0.3858349,4.392196 0.01172669 0.4561277,85.95095
146.4687,7,124.359,142.3888,Lab_Idle,0,default,-0.002161546 1.693457 0.3858104,4.393586 0.01295912 0.4540285,85.29465
157.2812,8,146.9551,153.201,Lab_Idle,0,default,-0.002187147 1.693451 0.3858061,4.3954 0.01206721 0.4529261,84.694
168.0285,9,157.7254,163.9493,Lab_Idle,0,default,-0.002075241 1.69328 0.3857899,4.39024 0.008254042 0.4559373,84.72814
190.5794,10,168.4723,186.4995,Lab_Idle,0,default,-0.002108469 1.693267 0.3857818,4.388941 0.01467745 0.4549103,84.69246
213.2477,11,191.0795,209.1673,Lab_Idle,0,default,-0.002172693 1.693306 0.385863,4.391747 0.0143644 0.4527802,84.68894
223.9536,12,213.7543,219.8734,Lab_Idle,0,default,-0.002196514 1.693302 0.3858612,4.390557 0.01087207 0.4503153,84.03954
234.6235,13,224.4619,230.5428,Lab_Idle,0,default,-0.002122794 1.69313 0.3857743,4.387424 0.008387236 0.4512767,84.05678
257.1532,14,235.1227,253.073,Lab_Idle,0,default,-0.002125219 1.693139 0.3857765,4.389008 0.01040296 0.4550275,84.08894
268.2398,15,257.6375,264.1619,Lab_Idle,0,default,-0.002086563 1.693042 0.3857503,4.388869 0.009061462 0.4498568,83.42262
290.4791,16,268.7351,286.3987,Lab_Idle,0,default,-0.002098783 1.693039 0.3857467,4.391009 0.01117246 0.4484276,83.4301
301.667,17,290.9643,297.5867,Lab_Idle,0,default,-0.001938101 1.692994 0.3857177,4.387075 0.00851841 0.4566707,82.74336
323.8345,18,302.0911,319.7541,Lab_Idle,0,default,-0.001941406 1.693012 0.3857067,4.389287 0.00696799 0.4511364,82.72879
334.9786,19,324.3625,330.9001,Lab_Idle,0,default,-0.001921317 1.692829 0.3856667,4.386493 0.007241635 0.44889,82.05054
357.2437,20,335.8395,353.1629,Lab_Idle,0,default,-0.001945829 1.692827 0.3856543,4.385879 0.009422447 0.4444826,82.01912
368.4372,21,357.7071,364.3573,Lab_Idle,0,default,-0.00189128 1.693011 0.3856362,4.390468 0.01110099 0.4533,81.31023
390.482,22,369.2274,386.4025,Lab_Idle,0,default,-0.001884659 1.693013 0.3856207,4.389823 0.004721039 0.4481505,81.30346
401.3324,23,391.1093,397.2531,Lab_Idle,0,default,-0.002032227 1.692959 0.3856741,4.388147 0.007306201 0.4517221,80.58102
412.7714,24,401.8982,408.6913,Lab_Idle,0,default,-0.002039593 1.692962 0.3856678,4.387784 0.007672273 0.4439172,80.59147
434.833,25,413.3675,430.7532,Lab_Idle,0,default,-0.00215314 1.692945 0.3856343,4.385931 0.008765214 0.4505351,80.59774
445.9803,26,435.3491,441.9001,Lab_Idle,0,default,-0.002168556 1.692934 0.3856284,4.386883 0.009688274 0.4473439,79.783
468.1925,27,446.4502,464.112,Lab_Idle,0,default,-0.00197541 1.692676 0.3856267,4.389688 0.006872892 0.4505004,79.80767
479.3199,28,468.6995,475.2399,Lab_Idle,0,default,-0.001994559 1.692653 0.3856186,4.385763 0.007736471 0.447329,79.00595
490.3801,29,479.8257,486.2994,Lab_Idle,0,default,-0.001996105 1.692634 0.3856142,4.38572 0.008855864 0.4447945,79.04168
512.6465,30,490.799,508.5697,Lab_Idle,0,default,-0.001972619 1.692602 0.3855433,4.386978 0.007744948 0.4456564,79.01874
535.4047,31,513.1252,531.3267,Lab_Idle,0,default,-0.002020703 1.692666 0.385443,4.385692 0.009940277 0.4438923,78.23106
546.112,32,536.1444,542.0311,Lab_Idle,0,default,-0.00203705 1.692631 0.3854221,4.382384 0.01215259 0.4470293,77.35364
557.1974,33,546.5476,553.1173,Lab_Idle,0,default,-0.002041547 1.692619 0.3854132,4.3867 0.01160613 0.4412647,77.47743
579.4167,34,557.6962,575.3374,Lab_Idle,0,default,-0.002046125 1.692688 0.3855724,4.390856 0.01211489 0.4454722,77.42001
590.5823,35,580.0225,586.5017,Lab_Idle,0,default,-0.002048073 1.692656 0.3855533,4.387902 0.01512477 0.4469542,76.60193
601.5981,36,591.0525,597.5174,Lab_Idle,0,default,-0.002148163 1.69268 0.3855461,4.391319 0.0137333 0.4456228,76.55563
623.8427,37,602.036,619.7623,Lab_Idle,0,default,-0.00215579 1.692663 0.38554,4.388683 0.01506473 0.444752,76.58205
634.7254,38,624.3318,630.6466,Lab_Idle,0,default,-0.002196144 1.692765 0.3856269,4.393033 0.01670035 0.4466959,75.69752
657.206,39,635.1585,653.1262,Lab_Idle,0,default,-0.00219174 1.692747 0.3856183,4.390893 0.01309323 0.4457466,75.7112
668.2477,40,657.6911,664.1679,Lab_Idle,0,default,-0.002286308 1.692555 0.3855459,4.390392 0.01973309 0.4421378,74.81081
690.5653,41,668.6741,686.4852,Lab_Idle,0,default,-0.002287989 1.692534 0.3855327,4.390668 0.01427898 0.4437437,74.82809
701.8039,42,691.0599,697.7234,Lab_Idle,0,default,-0.00274168 1.692393 0.3857208,4.38844 0.02237641 0.4438165,73.89172
712.7649,43,702.2388,708.6876,Lab_Idle,0,default,-0.00274106 1.692378 0.385716,4.391593 0.01795211 0.441736,73.86852
735.0122,44,713.2055,730.9313,Lab_Idle,0,default,-0.002783605 1.69253 0.3857706,4.387947 0.0170062 0.4456698,73.90663
745.924,45,735.481,741.8464,Lab_Idle,0,default,-0.002796254 1.692497 0.3857597,4.391301 0.01658489 0.4420843,72.93573
768.1185,46,746.4432,764.0408,Lab_Idle,0,default,-0.002824895 1.692414 0.3857447,4.389634 0.01780253 0.4480137,72.98495
779.5372,47,768.7309,775.4581,Lab_Idle,0,default,-0.002834842 1.692365 0.38574,4.385721 0.01408704 0.4440669,71.96355
801.4586,48,779.9927,797.3792,Lab_Idle,0,default,-0.002686798 1.692283 0.3856228,4.3884 0.01008289 0.4437911,71.97171
812.6493,49,801.9606,808.5684,Lab_Idle,0,default,-0.00270181 1.692243 0.3856044,4.392894 0.01615566 0.4439486,70.91637
823.6463,50,813.0667,819.5654,Lab_Idle,0,default,-0.002716934 1.692206 0.3855966,4.386589 0.01793603 0.445786,70.92863
846.2643,51,824.0708,842.1848,Lab_Idle,0,default,-0.002770862 1.69215 0.3855775,4.386404 0.01645447 0.4440426,70.93172
857.1306,52,846.8415,853.0497,Lab_Idle,0,default,-0.002779899 1.692098 0.3855622,4.387879 0.01625319 0.4422193,69.90678
879.8269,53,857.559,875.7465,Lab_Idle,0,default,-0.002905793 1.692301 0.3855816,4.392431 0.01855567 0.4470777,69.89729
890.4535,54,880.5455,886.3723,Lab_Idle,0,default,-0.002906527 1.692249 0.3855704,4.387546 0.01532413 0.4420848,68.77666
912.7576,55,890.8837,908.6775,Lab_Idle,0,default,-0.003157877 1.692187 0.3857266,4.390457 0.01882429 0.443226,68.78959
923.9492,56,913.3107,919.8689,Lab_Idle,0,default,-0.003179436 1.692136 0.3857057,4.387735 0.02180436 0.4482594,68.79931
