frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
0,Lab_Idle,default,22.9743,19.5078,send_bytes [0A]
8,Lab_Idle,default,138.4037,134.9372,send_bytes [00]
62,Lab_Idle,default,1014.089,1010.622,send_bytes [00]
71,Lab_Idle,default,1158.108,1154.642,send_bytes [00]
12185,Lab_Instruction1,default,191875.2,23.6322,send_bytes [0B]
12187,Lab_Instruction1,default,192293.8,442.2369,send_bytes [00]
12224,Lab_Instruction1,default,192919.8,1068.316,send_bytes [00]
12249,Lab_Instruction1,default,193309.9,1458.369,send_bytes [00]
13125,Lab_Instruction1,default,207219,22.9613,send_bytes [0B]
13132,Lab_Instruction1,default,207320.6,124.5553,send_bytes [00]
13188,Lab_Instruction1,default,208199.2,1003.084,send_bytes [00]
13197,Lab_Instruction1,default,208330.8,1134.681,send_bytes [00]
28184,Lab_Idle,default,439950.7,23.5538,send_bytes [0C]
28191,Lab_Idle,default,440050.7,123.5636,send_bytes [00]
28247,Lab_Idle,default,440931.2,1004.097,send_bytes [00]
28256,Lab_Idle,default,441075.2,1148.115,send_bytes [00]
36045,Lab_RestingStateEyesClosed,default,562538,23.2394,send_bytes [35]
36053,Lab_RestingStateEyesClosed,default,562639,124.2532,send_bytes [00]
36109,Lab_RestingStateEyesClosed,default,563507.1,992.3618,send_bytes [00]
36119,Lab_RestingStateEyesClosed,default,563650.1,1135.381,send_bytes [00]
46968,Lab_Idle,default,742553.5,27.2459,send_bytes [36]
46976,Lab_Idle,default,742663.9,137.6708,send_bytes [00]
47027,Lab_Idle,default,743529.1,1002.782,send_bytes [00]
47035,Lab_Idle,default,743662.1,1135.797,send_bytes [00]
47824,Lab_RestingStateEyesOpen,default,756246.2,22.0956,send_bytes [37]
47832,Lab_RestingStateEyesOpen,default,756360.2,136.1037,send_bytes [00]
47890,Lab_RestingStateEyesOpen,default,757240.4,1016.214,send_bytes [00]
47898,Lab_RestingStateEyesOpen,default,757359.8,1135.653,send_bytes [00]
59453,Lab_InstantTrigg,default,936255.2,20.4805,send_bytes [38]
59461,Lab_InstantTrigg,default,936370.8,136.0711,send_bytes [00]
61028,Lab_Idle,default,937236.9,791.5092,send_bytes [00]
61028,Lab_Idle,default,937381.3,935.9494,send_bytes [00]
68579,Forest_MPS_Part1,default,1081784,28.9347,send_bytes [0D]
68583,Forest_MPS_Part1,default,1081899,143.9341,send_bytes [00]
68610,Forest_MPS_Part1,default,1082775,1020.038,send_bytes [00]
68614,Forest_MPS_Part1,default,1082915,1159.635,send_bytes [00]
70086,Night_MPS_Part2,default,1129079,34.8385,send_bytes [3F]
70093,Night_MPS_Part2,default,1129196,151.4426,send_bytes [00]
70128,Night_MPS_Part2,default,1130041,996.5384,send_bytes [00]
70135,Night_MPS_Part2,default,1130208,1163.558,send_bytes [00]
83337,Forest_MPS_Part3,default,1450082,2.3199,send_bytes [40]
